Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89
198309,42.174,15.267,33.787,0,7.896,1.401,10.007,7.453,0.844,18.951,9.433,900.939,344.043,762.231,0,148.026,18.486,212.676,181.455,10.906,427.667,168.192,25.414,23.354,24.023,26.304,25.233,34.38,25.939,22.671,24.23,24.551,27.832,31.754,31.354,32.321,-999,29.261,36.034,32.883,33.871,27.155,33.097,31.006,110.619,18.836,17.563,16.925,15.495,66.846,2749.718,3553.577,3389.036,2637.981,12002.874,207.5,82.5,5165.9,10.751,3.177,8.95,3.264,168,28016.234,2578.256,3427.186,116.178,6.999,-12.937,-0.302,-0.529,0.424,-0.31,-0.23,0.175,-999,-0.157,0.012,-0.144,1.761,5.674,-0.364,4.233,10.256,9.809,30,0,0
198310,19.379,5.725,7.74,0,10.272,1.248,1.283,0.732,1.349,2.015,11.863,416.138,88.601,113.086,0,280.371,18.953,16.29,8.195,24.701,24.485,306.83,23.45,20.627,21.01,19.569,24.091,24.835,23.358,19.199,23.569,21.846,25.503,26.842,23.976,23.881,-999,28.584,26.894,25.516,20.811,27.043,23.706,29.672,106.654,18.586,19.667,17.242,15.466,69.091,4726.734,5207.003,4651.864,4117.457,18189.969,237.5,87.5,5107.839,16.464,2.115,13.896,2.441,140,27025.742,2460.961,3216.33,114.346,13.372,18.402,0.433,0.09,0.044,0.186,-0.299,0.166,-999,0.331,-0.418,-999,-1.959,3.6,6.47,2.612,9.833,10.331,31,0,0
198311,9.057,1.109,1.336,0,5.579,1.854,0,0.227,0,0.302,7.721,172.437,13.4,15.69,0,124.624,26.539,0,2.291,0,3.039,156.747,20.777,17.075,15.55,14.618,20.48,23.566,17.31,12.5,16.508,12.5,22.457,23.547,18.824,17.069,-999,23.291,25.899,-999,12.973,-999,13.48,25.86,138.593,17.827,20.259,20.259,16.172,72.383,5357.936,6098.402,4197.784,4015.057,19150.285,60,75,4980.933,18.555,3.662,18.666,1.875,162,26492.334,2346.973,3044.64,120.648,-24.23,17.679,-0.28,0.344,-0.111,-0.043,-0.178,0.44,-999,0.149,-0.688,-999,-2.539,3.196,12.026,0.349,7.754,10.215,21,9,0
198312,2.943,0,0.73,0,2.213,0,0.73,0,0,0.73,2.213,38.762,0,8.166,0,30.596,0,8.166,0,0,8.166,30.596,18.617,12.946,19.657,14.593,17.5,16.946,19.657,11.955,15.583,19.657,17.956,20.484,-999,21.257,-999,18.754,-999,21.257,-999,-999,21.257,20.068,145.688,19.019,20.259,19.876,16.179,73.254,5514.94,4138.513,6441.242,3910.378,19452.098,277.5,67.5,4944.677,14.56,2.398,12.89,2.466,142.5,25930.162,2163.729,2699.284,117.81,2.789,1.611,-0.141,-0.138,-0.047,-0.308,-999,-0.248,0.387,-0.406,-0.46,-999,-3.82,2.369,14.726,1.244,10.761,12.453,26,5,0
198401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.486,13.008,17.615,13.426,15.555,15.653,17.052,30.351,14.853,21.533,15.702,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,18.607,17.909,18.089,16.09,69.07,4189.894,4562.095,6477.295,3851.945,18634.645,290,67.5,4876.839,8.824,3.38,4.421,2.464,140,25885.484,1993.774,2406.133,75.415,15.522,-20.045,0.35,0.103,-0.227,-0.466,-0.017,-0.441,0.272,-0.355,-0.081,-999,-5.012,1.173,10.763,4.827,11.697,12.189,31,0,0
198402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.803,13.693,13.598,14.134,16.097,19.582,14.833,11.468,16.334,13.484,16.974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,20.259,19.881,18.815,16.663,73.694,5927.073,6442.056,5587.68,2539.609,19995.492,302.5,70,4939.104,5.145,6.439,5.608,7.523,148,25692.002,2045.005,2458.77,80.454,0.194,-8.372,-0.025,0.055,-0.316,-0.035,-0.493,-0.439,-0.317,-0.078,0.366,-999,-5.846,0.751,16.649,6.397,11.341,9.17,21,8,0
198403,2.751,0,0,0,2.751,0,0,0,0,0,2.751,36.541,0,0,0,36.541,0,0,0,0,0,36.541,16.384,12.989,13.283,12.825,15.914,13.705,14.23,11.17,14.111,13.556,16.384,18.314,-999,-999,-999,17.574,-999,-999,-999,-999,-999,18.314,133.084,18.532,19.56,18.666,17.69,72.771,4922.595,5176.178,4705.907,2487.414,16897.953,275,82.5,5017.452,7.251,3.457,7.586,4.554,163,25960.904,2238.204,2809.296,105.106,-28.644,4.425,-0.159,0.227,-0.168,-0.233,0.309,-0.459,-999,0.119,0.416,-999,-5.562,1.065,5.504,5.391,7.043,7.055,24,7,0
198404,2.374,1.26,2.374,0,0,0,1.114,0,0,1.114,0,29.852,16.971,29.852,0,0,0,12.881,0,0,12.881,0,16.427,16.233,16.427,14.109,14.598,20.246,16.65,13.469,14.25,16.65,18.588,18.596,18.967,18.596,-999,-999,-999,18.225,-999,-999,18.225,-999,0,18.185,20.095,15.687,10.301,62.447,4084.287,4002.948,2688.385,1680.631,12148.046,95,72.5,5075.333,12.193,7.173,15.31,6.986,162,26990.035,2321.775,2999.548,108.634,-3.831,-5.734,-0.048,0.256,0.014,-0.003,-0.309,0.212,-999,-0.014,0.343,-999,-2.645,3.312,5.737,6.769,9.277,7.085,23,7,0
198405,3.253,2.118,2.118,0.143,0.638,0.212,0,0,0,0,0.992,44.736,30.468,30.468,1.466,8.28,2.54,0,0,0,0,12.803,20.935,19.262,19.262,-999,17.013,24.308,16.06,14.564,13.14,15.43,23.802,23.481,21.857,21.857,22.593,-999,26.326,-999,-999,-999,-999,26.14,168.474,16.676,20.095,16.93,13.408,65.471,2575.296,3633.894,2818.472,1594.95,10385.77,162.5,82.5,5196.323,7.759,4.302,10.401,4.299,162,27496.031,2439.263,3228.58,104.375,3.165,-17.595,0.357,-0.015,0.025,-0.359,-0.144,-0.091,-999,0.47,0.301,-999,-1.935,3.338,9.4,6.274,8.923,9.263,31,0,0
198406,20.079,7.758,16.167,0,0,4.823,4.303,3.45,0,8.772,4.891,333.571,153.548,260.719,0,0,92.987,51.849,45.161,0,113.793,93.774,23.342,23.624,21.144,28.724,23.021,30.125,20.734,18.387,23.243,19.641,29.971,28.077,29.638,26.497,-999,-999,33.804,26.194,22.482,-999,24.764,33.488,0,17.359,19.274,16.684,14.77,66.368,1847.052,2744.406,2383.097,1867.591,8637.078,162.5,85,5367.233,7.798,1.847,7.058,2.112,129,28142.668,2492.119,3347.171,59.294,2.577,6.652,0.057,-0.009,-0.222,0.078,-0.22,0.104,-999,-0.223,0.092,-999,-4.324,0.498,4.89,3.743,9.771,11.465,30,0,0
